structureId,classification,residueCount
1AOF,OXIDOREDUCTASE,1134
1AOG,OXIDOREDUCTASE,970
1AOK,HYDROLASE,244
1AOM,OXIDOREDUCTASE,1134
1AOP,OXIDOREDUCTASE,497
1AOQ,OXIDOREDUCTASE,1134
1AOR,OXIDOREDUCTASE,1210
1AOS,LYASE,928
1AP5,OXIDOREDUCTASE,396
1AP6,OXIDOREDUCTASE,396
1APY,HYDROLASE,606
1AQ0,HYDROLASE,612
1AQ8,OXIDOREDUCTASE,1029
1AQF,TRANSFERASE,4240
1AQH,HYDROLASE,453
1AQL,HYDROLASE,1064
1AQM,HYDROLASE,453
1AQT,HYDROLASE,138
1AQU,TRANSFERASE,594
1AQY,TRANSFERASE,594
1AR4,OXIDOREDUCTASE,402
1AR5,OXIDOREDUCTASE,402
1ARK,TRANSFERASE,60
1ARM,HYDROLASE,309
1ARZ,OXIDOREDUCTASE,1092
1AS6,OXIDOREDUCTASE,1029
1AS7,OXIDOREDUCTASE,1029
1AS8,OXIDOREDUCTASE,1029
1ASO,OXIDOREDUCTASE,1104
1ASP,OXIDOREDUCTASE,1104
1ASQ,OXIDOREDUCTASE,1104
1AT0,SIGNALING PROTEIN,145
1AT5,HYDROLASE,129
1AT6,HYDROLASE,129
1ATJ,OXIDOREDUCTASE,1836
1ATK,HYDROLASE,215
1AU0,HYDROLASE,215
1AU2,HYDROLASE,215
1AU3,HYDROLASE,215
1AU4,HYDROLASE,215
1AUC,OXIDOREDUCTASE,105
1AUE,TRANSFERASE,200
1AUI,HYDROLASE,690
1AUJ,HYDROLASE,223
1AUK,HYDROLASE,489
1AUO,HYDROLASE,436
1AUP,OXIDOREDUCTASE,449
1AUR,HYDROLASE,436
1AUV,TRANSFERASE,622
1AUX,TRANSFERASE,622
1AV4,OXIDOREDUCTASE,638
1AV8,OXIDOREDUCTASE,680
1AVK,OXIDOREDUCTASE,638
1AVL,OXIDOREDUCTASE,638
1AVM,OXIDOREDUCTASE,402
1AVN,LYASE,259
1AVP,HYDROLASE,215
1AW0,HYDROLASE,72
1AW9,TRANSFERASE,216
1AWB,HYDROLASE,552
1AWJ,TRANSFERASE,77
1AWW,TRANSFERASE,67
1AWX,TRANSFERASE,67
1AWZ,HYDROLASE,123
1AX9,HYDROLASE,537
1AXB,HYDROLASE,263
1AXE,OXIDOREDUCTASE,748
1AXG,OXIDOREDUCTASE,1496
1AXR,TRANSFERASE,842
1AY0,TRANSFERASE,1360
1AY4,TRANSFERASE,788
1AY5,TRANSFERASE,788
1AY8,TRANSFERASE,788
1AYP,HYDROLASE,744
1AYU,HYDROLASE,215
1AYV,HYDROLASE,215
1AYW,HYDROLASE,215
1AYX,HYDROLASE,492
1AYY,HYDROLASE,590
1AZ1,OXIDOREDUCTASE,315
1AZ2,OXIDOREDUCTASE,315
1AZF,HYDROLASE,129
1AZT,HYDROLASE,804
1AZV,OXIDOREDUCTASE,306
1B02,TRANSFERASE,279
1B06,OXIDOREDUCTASE,1260
1B09,IMMUNE SYSTEM,1030
1B0D,HYDROLASE,129
1B0E,HYDROLASE,240
1B0F,HYDROLASE,218
1B0I,HYDROLASE,453
1B0J,LYASE,754
1B0K,LYASE,753
1B0M,HYDROLASE,753
1B0P,OXIDOREDUCTASE,2462
1B0R,SIGNALING PROTEIN,384
1B0U,TRANSPORT PROTEIN,262
1B0W,IMMUNE SYSTEM,324
1B0X,TRANSFERASE,94
1B12,HYDROLASE,992
1B14,OXIDOREDUCTASE,508
1B15,OXIDOREDUCTASE,508
1B16,OXIDOREDUCTASE,508
1B1C,OXIDOREDUCTASE,181
1B1E,HYDROLASE,123
1B1H,SIGNALING PROTEIN,520
1B1I,HYDROLASE,123
1B1J,HYDROLASE,123
1B1Y,HYDROLASE,500
1B20,HYDROLASE,330
1B21,HYDROLASE,330
1B25,OXIDOREDUCTASE,2476
1B26,OXIDOREDUCTASE,2496
1B2I,HYDROLASE,83
1B2K,HYDROLASE,258
1B2L,OXIDOREDUCTASE,254
1B2R,OXIDOREDUCTASE,304
1B2V,TRANSPORT PROTEIN,188
1B2W,IMMUNE SYSTEM,434
1B2X,HYDROLASE,330
1B2Y,HYDROLASE,496
1B2Z,HYDROLASE,330
1B37,OXIDOREDUCTASE,1416
1B38,TRANSFERASE,299
1B39,TRANSFERASE,299
1B3B,OXIDOREDUCTASE,2490
1B3J,IMMUNE SYSTEM,274
1B3Q,TRANSFERASE,758
1B3R,HYDROLASE,1724
1B43,TRANSFERASE,680
1B48,TRANSFERASE,442
1B49,TRANSFERASE,492
1B4D,TRANSFERASE,842
1B4E,LYASE,323
1B4K,LYASE,674
1B4L,OXIDOREDUCTASE,153
1B4N,OXIDOREDUCTASE,2476
1B4P,TRANSFERASE,217
1B4Q,OXIDOREDUCTASE,105
1B4T,OXIDOREDUCTASE,153
1B4V,OXIDOREDUCTASE,504
1B4W,HYDROLASE,488
1B4X,TRANSFERASE,396
1B55,TRANSFERASE,338
1B57,LYASE,716
1B59,HYDROLASE,370
1B5D,TRANSFERASE,492
1B5E,TRANSFERASE,492
1B5F,HYDROLASE,652
1B5N,SIGNALING PROTEIN,23
1B5O,TRANSFERASE,770
1B5P,TRANSFERASE,770
1B5Q,OXIDOREDUCTASE,1416
1B5T,OXIDOREDUCTASE,825
1B5U,HYDROLASE,130
1B5V,HYDROLASE,130
1B5W,HYDROLASE,130
1B5X,HYDROLASE,130
1B5Y,HYDROLASE,130
1B5Z,HYDROLASE,260
1B65,HYDROLASE,2250
1B6B,TRANSFERASE,348
1B6G,HYDROLASE,310
1B6I,HYDROLASE,164
1B6R,LYASE,355
1B6S,LYASE,1420
1B6T,TRANSFERASE,318
1B6Z,LYASE,280
1B79,HYDROLASE,476
1B7B,TRANSFERASE,1240
1B7G,OXIDOREDUCTASE,680
1B7L,HYDROLASE,130
1B7M,HYDROLASE,130
1B7N,HYDROLASE,130
1B7O,HYDROLASE,130
1B7P,HYDROLASE,130
1B7Q,HYDROLASE,130
1B7R,HYDROLASE,130
1B80,OXIDOREDUCTASE,702
1B82,OXIDOREDUCTASE,702
1B85,OXIDOREDUCTASE,702
1B87,TRANSFERASE,181
1B88,IMMUNE SYSTEM,228
1B8E,TRANSPORT PROTEIN,162
1B8F,LYASE,507
1B8G,LYASE,858
1B8H,TRANSFERASE,695
1B8N,TRANSFERASE,284
1B8O,TRANSFERASE,284
1B8P,OXIDOREDUCTASE,329
1B8Q,OXIDOREDUCTASE,134
1B8U,OXIDOREDUCTASE,329
1B8V,OXIDOREDUCTASE,329
1B8Y,HYDROLASE,167
1B90,HYDROLASE,516
1B92,TRANSFERASE,163
1B93,LYASE,456
1B99,TRANSFERASE,930
1B9D,TRANSFERASE,163
1B9F,TRANSFERASE,163
1B9M,TRANSCRIPTION,530
1B9N,TRANSCRIPTION,530
1B9S,HYDROLASE,390
1B9T,HYDROLASE,390
1B9U,HYDROLASE,34
1B9V,HYDROLASE,390
1B9X,SIGNALING PROTEIN,654
1B9Y,SIGNALING PROTEIN,654
1B9Z,HYDROLASE,516
1BA0,HYDROLASE,386
1BA1,HYDROLASE,386
1BA3,OXIDOREDUCTASE,550
1BA9,OXIDOREDUCTASE,153
1BAF,IMMUNE SYSTEM,431
1BAK,TRANSFERASE,119
1BAY,TRANSFERASE,418
1BB6,HYDROLASE,129
1BB7,HYDROLASE,129
1BB9,TRANSFERASE,115
1BBC,HYDROLASE,124
1BC2,HYDROLASE,454
1BC4,HYDROLASE,111
1BCC,OXIDOREDUCTASE,2048
1BCI,HYDROLASE,138
1BD3,TRANSFERASE,972
1BD4,TRANSFERASE,972
1BDB,OXIDOREDUCTASE,277
1BDL,HYDROLASE,198
1BDO,TRANSFERASE,80
1BDQ,HYDROLASE,198
1BDR,HYDROLASE,198
1BED,OXIDOREDUCTASE,181
1BEL,HYDROLASE,124
1BF2,HYDROLASE,750
1BF3,OXIDOREDUCTASE,394
1BFD,LYASE,528
1BFN,HYDROLASE,495
1BG6,OXIDOREDUCTASE,359
1BG9,HYDROLASE,403
1BGI,HYDROLASE,129
1BGJ,OXIDOREDUCTASE,394
1BGN,OXIDOREDUCTASE,394
1BGO,HYDROLASE,215
1BGP,OXIDOREDUCTASE,309
1BGV,OXIDOREDUCTASE,449
1BH5,LYASE,732
1BH6,HYDROLASE,274
1BHS,OXIDOREDUCTASE,327
1BHZ,HYDROLASE,129
1BIQ,OXIDOREDUCTASE,750
1BIW,HYDROLASE,346
1BJ4,TRANSFERASE,470
1BJ9,OXIDOREDUCTASE,291
1BJG,TRANSFERASE,264
1BJK,OXIDOREDUCTASE,295
1BK1,HYDROLASE,184
1BK4,HYDROLASE,337
1BK7,HYDROLASE,190
1BK9,HYDROLASE,124
1BKJ,OXIDOREDUCTASE,480
1BKS,LYASE,665
1BKW,OXIDOREDUCTASE,394
1BL5,OXIDOREDUCTASE,414
1BL6,TRANSFERASE,379
1BL7,TRANSFERASE,379
1BL9,OXIDOREDUCTASE,1086
1BLI,HYDROLASE,483
1BLN,IMMUNE SYSTEM,864
1BM3,IMMUNE SYSTEM,441
1BM7,SIGNALING PROTEIN,254
1BMK,TRANSFERASE,379
1BMQ,HYDROLASE,255
1BN1,LYASE,259
1BN3,LYASE,259
1BN4,LYASE,259
1BN6,HYDROLASE,294
1BN7,HYDROLASE,294
1BN8,LYASE,420
1BNM,LYASE,259
1BNN,LYASE,259
1BNQ,LYASE,259
1BNT,LYASE,259
1BNU,LYASE,259
1BNV,LYASE,259
1BNW,LYASE,259
1BO0,SIGNALING PROTEIN,76
1BO1,TRANSFERASE,832
1BO4,TRANSFERASE,336
1BO5,TRANSFERASE,1002
1BO6,TRANSFERASE,594
1BO7,TRANSFERASE,316
1BO8,TRANSFERASE,316
1BOH,TRANSFERASE,296
1BOI,TRANSFERASE,296
1BOL,HYDROLASE,222
1BOO,TRANSFERASE,323
1BOQ,HYDROLASE,198
1BOT,TRANSFERASE,1002
1BOX,HYDROLASE,96
1BOZ,OXIDOREDUCTASE,186
1BP0,TRANSFERASE,316
1BP2,HYDROLASE,123
1BP4,HYDROLASE,212
1BP6,TRANSFERASE,316
1BPJ,TRANSFERASE,316
1BPW,OXIDOREDUCTASE,2012
1BQ1,TRANSFERASE,528
1BQ5,OXIDOREDUCTASE,342
1BQ6,TRANSFERASE,388
1BQ7,OXIDOREDUCTASE,1134
1BQB,HYDROLASE,301
1BQC,HYDROLASE,302
1BQE,OXIDOREDUCTASE,295
1BQH,IMMUNE SYSTEM,1278
1BQI,HYDROLASE,212
1BQU,SIGNALING PROTEIN,430
1BR5,HYDROLASE,267
1BR6,HYDROLASE,268
1BRM,OXIDOREDUCTASE,1101
1BRW,TRANSFERASE,866
1BS0,TRANSFERASE,384
1BS3,OXIDOREDUCTASE,402
1BS4,HYDROLASE,504
1BS5,HYDROLASE,504
1BS6,HYDROLASE,513
1BS7,HYDROLASE,504
1BS8,HYDROLASE,513
1BSH,HYDROLASE,138
1BSI,HYDROLASE,496
1BSJ,HYDROLASE,168
1BSK,HYDROLASE,168
1BSM,OXIDOREDUCTASE,402
1BSN,HYDROLASE,138
1BSO,TRANSPORT PROTEIN,162
1BSV,OXIDOREDUCTASE,321
1BSZ,HYDROLASE,504
1BT0,SIGNALING PROTEIN,76
1BT1,OXIDOREDUCTASE,690
1BT2,OXIDOREDUCTASE,690
1BT3,OXIDOREDUCTASE,345
1BT4,TRANSFERASE,361
1BT5,HYDROLASE,263
1BT7,HYDROLASE,186
1BT8,OXIDOREDUCTASE,402
1BTE,TRANSFERASE,194
1BTK,TRANSFERASE,338
1BTL,HYDROLASE,263
1BTO,OXIDOREDUCTASE,1496
1BTY,HYDROLASE,229
1BU1,TRANSFERASE,342
1BU6,TRANSFERASE,2004
1BU7,OXIDOREDUCTASE,910
1BU8,HYDROLASE,452
1BUC,OXIDOREDUCTASE,766
1BUE,HYDROLASE,265
1BUG,OXIDOREDUCTASE,690
1BUH,TRANSFERASE,377
1BUJ,HYDROLASE,109
1BUL,HYDROLASE,265
1BUP,HYDROLASE,386
1BV3,LYASE,259
1BV7,HYDROLASE,198
1BV9,HYDROLASE,198
1BVA,OXIDOREDUCTASE,294
1BVH,HYDROLASE,157
1BVI,HYDROLASE,416
1BVM,HYDROLASE,123
1BVQ,HYDROLASE,141
1BVR,OXIDOREDUCTASE,1608
1BVT,HYDROLASE,227
1BVU,OXIDOREDUCTASE,2508
1BVV,HYDROLASE,185
1BVW,HYDROLASE,360
1BVX,HYDROLASE,129
1BVY,OXIDOREDUCTASE,1107
1BVZ,HYDROLASE,1170
1BW0,TRANSFERASE,832
1BWA,HYDROLASE,198
1BWB,HYDROLASE,198
1BWC,OXIDOREDUCTASE,478
1BWD,TRANSFERASE,696
1BWF,TRANSFERASE,1002
1BWH,HYDROLASE,129
1BWI,HYDROLASE,129
1BWJ,HYDROLASE,129
1BWK,OXIDOREDUCTASE,399
1BWL,OXIDOREDUCTASE,399
1BWM,IMMUNE SYSTEM,249
1BWN,TRANSFERASE,338
1BWP,HYDROLASE,233
1BWQ,HYDROLASE,233
1BWR,HYDROLASE,233
1BWS,OXIDOREDUCTASE,321
1BWV,LYASE,2524
1BWW,IMMUNE SYSTEM,218
1BX0,OXIDOREDUCTASE,314
1BX1,OXIDOREDUCTASE,314
1BX2,IMMUNE SYSTEM,772
1BX3,TRANSFERASE,842
1BX4,TRANSFERASE,345
1BXD,TRANSFERASE,161
1BXI,IMMUNE SYSTEM,220
1BXK,LYASE,710
1BXN,LYASE,2496
1BXO,HYDROLASE,323
1BXQ,HYDROLASE,323
1BXS,OXIDOREDUCTASE,2004
1BXT,IMMUNE SYSTEM,468
1BXZ,OXIDOREDUCTASE,1408
1BY1,TRANSPORT PROTEIN,209
1BY6,SIGNALING PROTEIN,36
1BY8,HYDROLASE,314
1BYE,TRANSFERASE,852
1BYG,TRANSFERASE,278
1BYH,HYDROLASE,214
1BYU,TRANSPORT PROTEIN,432
1BZ7,IMMUNE SYSTEM,423
1BZ8,SIGNALING PROTEIN,252
1BZA,HYDROLASE,262
1BZC,HYDROLASE,321
1BZF,OXIDOREDUCTASE,162
1BZJ,HYDROLASE,297
1BZK,TRANSPORT PROTEIN,43
1BZL,OXIDOREDUCTASE,972
1BZO,OXIDOREDUCTASE,151
1BZS,HYDROLASE,165
1C02,TRANSFERASE,332
1C03,SIGNALING PROTEIN,672
1C07,SIGNALING PROTEIN,95
1C0B,HYDROLASE,128
1C0C,HYDROLASE,128
1C0E,HYDROLASE,314
1C0I,OXIDOREDUCTASE,363
1C0K,OXIDOREDUCTASE,363
1C0L,OXIDOREDUCTASE,363
1C0M,TRANSFERASE,952
1C0N,LYASE,406
1C0P,OXIDOREDUCTASE,363
1C0T,TRANSFERASE,1000
1C0U,TRANSFERASE,1000
1C10,HYDROLASE,129
1C12,IMMUNE SYSTEM,434
1C14,OXIDOREDUCTASE,524
1C16,IMMUNE SYSTEM,1436
1C1B,TRANSFERASE,1000
1C1C,TRANSFERASE,1000
1C1D,OXIDOREDUCTASE,710
1C1E,IMMUNE SYSTEM,435
1C1H,LYASE,310
1C1J,HYDROLASE,488
1C1M,HYDROLASE,240
1C1X,OXIDOREDUCTASE,710
1C1Y,SIGNALING PROTEIN,244
1C1Z,SIGNALING PROTEIN,326
1C21,HYDROLASE,263
1C22,HYDROLASE,263
1C23,HYDROLASE,263
1C24,HYDROLASE,263
1C25,HYDROLASE,161
1C27,HYDROLASE,263
1C2B,HYDROLASE,540
1C2O,HYDROLASE,2156
1C2P,TRANSFERASE,1152
1C2T,TRANSFERASE,424
1C2Y,TRANSFERASE,3120
1C39,SIGNALING PROTEIN,304
1C3B,HYDROLASE,716
1C3C,LYASE,858
1C3E,TRANSFERASE,418
1C3F,HYDROLASE,265
1C3H,SIGNALING PROTEIN,822
1C3I,HYDROLASE,346
1C3J,TRANSFERASE,351
1C3L,HYDROLASE,274
1C3P,LYASE,375
1C3Q,TRANSFERASE,852
1C3R,LYASE,750
1C3S,LYASE,375
1C3U,LYASE,862
1C3V,OXIDOREDUCTASE,490
1C3X,TRANSFERASE,798
1C41,TRANSFERASE,2000
1C43,HYDROLASE,130
1C45,HYDROLASE,130
1C46,HYDROLASE,131
1C47,TRANSFERASE,1122
1C4A,OXIDOREDUCTASE,574
1C4C,OXIDOREDUCTASE,574
1C4F,SIGNALING PROTEIN,236
1C4G,TRANSFERASE,1122
1C4K,LYASE,730
1C4T,TRANSFERASE,699
1C4W,SIGNALING PROTEIN,128
1C4X,HYDROLASE,285
1C50,TRANSFERASE,830
1C54,HYDROLASE,96
1C5B,IMMUNE SYSTEM,429
1C5C,IMMUNE SYSTEM,429
1C5D,IMMUNE SYSTEM,856
1C5H,HYDROLASE,185
1C5I,HYDROLASE,185
1C5K,TRANSPORT PROTEIN,439
1C5P,HYDROLASE,223
1C5Q,HYDROLASE,223
1C5R,HYDROLASE,223
1C5S,HYDROLASE,223
1C5T,HYDROLASE,223
1C5U,HYDROLASE,223
1C5V,HYDROLASE,223
1C60,HYDROLASE,164
1C61,HYDROLASE,164
1C62,HYDROLASE,164
1C63,HYDROLASE,164
1C64,HYDROLASE,164
1C65,HYDROLASE,164
1C66,HYDROLASE,164
1C67,HYDROLASE,164
1C68,HYDROLASE,164
1C69,HYDROLASE,164
1C6A,HYDROLASE,164
1C6B,HYDROLASE,164
1C6C,HYDROLASE,164
1C6D,HYDROLASE,164
1C6E,HYDROLASE,164
1C6F,HYDROLASE,164
1C6G,HYDROLASE,164
1C6H,HYDROLASE,164
1C6I,HYDROLASE,164
1C6J,HYDROLASE,164
1C6K,HYDROLASE,164
1C6L,HYDROLASE,164
1C6M,HYDROLASE,164
1C6N,HYDROLASE,164
1C6P,HYDROLASE,164
1C6Q,HYDROLASE,164
1C6T,HYDROLASE,164
1C6X,HYDROLASE,198
1C6Y,HYDROLASE,198
1C70,HYDROLASE,198
1C72,TRANSFERASE,876
1C74,HYDROLASE,123
1C76,HYDROLASE,136
1C77,HYDROLASE,272
1C78,HYDROLASE,272
1C79,HYDROLASE,272
1C7G,LYASE,1824
1C7I,HYDROLASE,489
1C7J,HYDROLASE,489
1C7K,HYDROLASE,132
1C7N,TRANSFERASE,3192
1C7O,TRANSFERASE,3192
1C7P,HYDROLASE,134
1C7S,HYDROLASE,858
1C7T,HYDROLASE,858
1C7Z,HYDROLASE,382
1C80,HYDROLASE,382
1C81,HYDROLASE,191
1C82,LYASE,731
1C83,HYDROLASE,298
1C84,HYDROLASE,298
1C85,HYDROLASE,298
1C86,HYDROLASE,298
1C87,HYDROLASE,298
1C88,HYDROLASE,298
1C8B,HYDROLASE,742
1C8I,OXIDOREDUCTASE,344
1C8J,OXIDOREDUCTASE,828
1C8K,TRANSFERASE,842
1C8L,TRANSFERASE,842
1C8Q,HYDROLASE,496
1C8U,HYDROLASE,570
1C8V,LYASE,665
1C8W,HYDROLASE,124
1C8X,HYDROLASE,265
1C8Y,HYDROLASE,265
1C8Z,SIGNALING PROTEIN,265
1C90,HYDROLASE,530
1C91,HYDROLASE,265
1C92,HYDROLASE,265
1C93,HYDROLASE,265
1C96,LYASE,753
1C97,LYASE,753
1C9C,TRANSFERASE,396
1C9D,LYASE,665
1C9E,LYASE,306
1C9F,HYDROLASE,90
1C9H,IMMUNE SYSTEM,107
1C9J,HYDROLASE,269
1C9K,TRANSFERASE,540
1C9M,HYDROLASE,269
1C9N,HYDROLASE,269
1C9O,TRANSCRIPTION,132
1C9U,OXIDOREDUCTASE,908
1C9V,HYDROLASE,124
1C9W,OXIDOREDUCTASE,315
1C9X,HYDROLASE,124
1C9Y,TRANSFERASE,321
1CA1,HYDROLASE,370
1CAQ,HYDROLASE,168
1CB0,TRANSFERASE,283
1CB4,OXIDOREDUCTASE,302
1CB5,HYDROLASE,1359
1CB8,LYASE,678
1CBJ,OXIDOREDUCTASE,302
1CBK,TRANSFERASE,320
1CC0,SIGNALING PROTEIN,788
1CC1,OXIDOREDUCTASE,781
1CC2,OXIDOREDUCTASE,504
1CC4,OXIDOREDUCTASE,394
1CC6,OXIDOREDUCTASE,394
1CCA,OXIDOREDUCTASE,297
1CCB,OXIDOREDUCTASE,297
1CCC,OXIDOREDUCTASE,297
1CCI,OXIDOREDUCTASE,294
1CCJ,OXIDOREDUCTASE,294
1CCK,OXIDOREDUCTASE,291
1CCL,OXIDOREDUCTASE,291
1CCP,OXIDOREDUCTASE,296
1CD0,IMMUNE SYSTEM,222
1CD2,OXIDOREDUCTASE,206
1CE1,IMMUNE SYSTEM,439
1CE5,HYDROLASE,223
1CEQ,OXIDOREDUCTASE,316
1CET,OXIDOREDUCTASE,316
1CEV,HYDROLASE,1794
1CF2,OXIDOREDUCTASE,1348
1CF4,TRANSFERASE,228
1CF9,OXIDOREDUCTASE,3012
1CFJ,HYDROLASE,537
1CG6,TRANSFERASE,283
1CGK,TRANSFERASE,389
1CGZ,TRANSFERASE,389
1CH0,HYDROLASE,312
1CHW,TRANSFERASE,778
1CI0,OXIDOREDUCTASE,456
1CI5,IMMUNE SYSTEM,95
1CI6,TRANSCRIPTION,126
1CI7,TRANSFERASE,594
1CI8,HYDROLASE,784
1CI9,HYDROLASE,784
1CIJ,HYDROLASE,310
1CIP,HYDROLASE,353
1CIV,OXIDOREDUCTASE,385
1CJ0,TRANSFERASE,940
1CJ1,SIGNALING PROTEIN,1152
1CJ2,OXIDOREDUCTASE,391
1CJ3,OXIDOREDUCTASE,392
1CJ4,OXIDOREDUCTASE,392
1CJ5,TRANSPORT PROTEIN,162
1CJ6,HYDROLASE,130
1CJ7,HYDROLASE,130
1CJ8,HYDROLASE,130
1CJ9,HYDROLASE,130
1CJA,TRANSFERASE,684
1CJB,TRANSFERASE,924
1CJC,OXIDOREDUCTASE,460
1CJL,HYDROLASE,312
1CJM,TRANSFERASE,295
1CJQ,HYDROLASE,116
1CJR,HYDROLASE,116
1CJW,TRANSFERASE,166
1CJX,OXIDOREDUCTASE,1428
1CJY,HYDROLASE,1498
1CK3,HYDROLASE,263
1CK6,OXIDOREDUCTASE,344
1CK7,HYDROLASE,631
1CKC,HYDROLASE,130
1CKD,HYDROLASE,130
1CKE,TRANSFERASE,227
1CKF,HYDROLASE,130
1CKG,HYDROLASE,260
1CKH,HYDROLASE,130
1CL0,OXIDOREDUCTASE,320
1CL5,HYDROLASE,242
1CL6,OXIDOREDUCTASE,402
1CL7,IMMUNE SYSTEM,433
1CLP,HYDROLASE,242
1CLU,HYDROLASE,166
1CLV,HYDROLASE,503
1CM0,SIGNALING PROTEIN,336
